	BumphunterDMR.seqnames	BumphunterDMR.start	BumphunterDMR.end	BumphunterDMR.width	BumphunterDMR.strand	BumphunterDMR.value	BumphunterDMR.area	BumphunterDMR.cluster	BumphunterDMR.indexStart	BumphunterDMR.indexEnd	BumphunterDMR.L	BumphunterDMR.clusterL	BumphunterDMR.p.value	BumphunterDMR.fwer	BumphunterDMR.p.valueArea	BumphunterDMR.fwerArea
DMR_1	chr3	194969372	194969372	0	*	-3.95080935014279	3.95080935014279	208414	331955	331955	1	10	7.53195286156271e-05	0.052	0.000973360062109642	0.256
DMR_2	chr2	223916148	223916912	764	*	0.281806896279783	3.09987585907761	167429	274884	274894	11	19	0.000643112898179585	0.076	0.00338358497780971	0.416
DMR_3	chr5	1856259	1857828	1569	*	0.315516784795018	2.52413427836014	223699	353078	353085	8	21	0.000805339575197859	0.1	0.00843578720495023	0.616
DMR_4	chr4	1512820	1513259	439	*	0.340120428116386	1.70060214058193	209201	334251	334255	5	8	0.00164544200975678	0.196	0.0319123048934518	0.896
DMR_5	chr18	7119021	7119131	110	*	1.78194993426754	3.56389986853508	128586	216734	216735	2	12	0.000324453354036547	0.204	0.00166282343943731	0.316
DMR_6	chr2	37458536	37458880	344	*	-0.226700390774493	2.49370429851942	149945	253612	253622	11	18	0.00443805837842849	0.232	0.00886452913706995	0.632
DMR_7	chr1	54618655	54619895	1240	*	0.219533649558507	2.41487014514357	9984	19776	19786	11	12	0.00533030510202899	0.252	0.0100986106443875	0.664
DMR_8	chr17	62502038	62502446	408	*	-0.282240259361986	1.9756818155339	124274	207456	207462	7	22	0.00411939883428545	0.272	0.0204057984449414	0.792
DMR_9	chr21	30391383	30391822	439	*	-0.307135508168458	1.84281304901075	179871	293321	293326	6	13	0.00311706972270826	0.272	0.025197279226874	0.848
DMR_10	chr2	115419537	115420260	723	*	0.271872758048776	1.90310930634143	157676	263577	263583	7	7	0.0059270675210605	0.316	0.0228507862200025	0.82
DMR_11	chr6	74104388	74104877	489	*	0.268664336436643	1.8806503550565	249224	393748	393754	7	16	0.00663391232806869	0.336	0.0237777958029641	0.832
DMR_12	chr4	6642118	6642559	441	*	-0.240588975042745	1.92471180034196	210174	336480	336487	8	14	0.0104752082874657	0.372	0.0220917971239528	0.812
DMR_13	chr17	33569972	33570178	206	*	-0.230603882604364	2.07543494343927	119709	198246	198254	9	18	0.00910786915259736	0.376	0.0173119039618072	0.768
DMR_14	chr9	135905949	135906290	341	*	-0.263209314077783	1.84246519854448	298804	460202	460208	7	15	0.00800704527283051	0.388	0.025208866846661	0.848
DMR_15	chr9	107526283	107526487	204	*	-0.299021984193203	1.49510992096601	294777	455783	455787	5	11	0.00608929419807877	0.388	0.0445428104613031	0.96
DMR_16	chr21	37442104	37442385	281	*	-0.276878494363093	1.66127096617856	180801	294634	294639	6	9	0.00798387003325647	0.404	0.0339864888353283	0.904
DMR_17	chr1	92945668	92947035	1367	*	0.271084304699377	1.62650582819626	13434	23474	23479	6	68	0.00978574491013801	0.42	0.0359447965793346	0.92
DMR_18	chr13	112200641	112200892	251	*	0.29047291770845	1.45236458854225	82975	131089	131093	5	7	0.00797228241346945	0.424	0.0477989316214556	0.96
DMR_19	chr8	23082539	23082961	422	*	-0.22056341293698	1.98507071643282	276907	434780	434788	9	19	0.0116803207453157	0.432	0.0200581698513308	0.792
DMR_20	chr17	41278263	41278906	643	*	0.268565784772975	1.61139470863785	121161	201585	201590	6	30	0.0106026721051229	0.436	0.0367848990138936	0.92
DMR_21	chr17	57184330	57184577	247	*	-0.215927174338956	1.94334456905061	123565	206341	206349	9	17	0.0127000312865734	0.44	0.021367570887264	0.804
DMR_22	chr16	30621667	30622014	347	*	-0.23312470552469	1.86499764419752	108331	175273	175280	8	14	0.0130186908307165	0.44	0.0243629706022086	0.84
DMR_23	chr17	72209469	72209802	333	*	-0.231637733455139	1.85310186764112	125582	208573	208580	8	26	0.0136096594398545	0.444	0.0248148877739024	0.844
DMR_24	chr3	149094653	149095283	630	*	0.28555691439093	1.42778457195465	203539	326451	326455	5	14	0.00925271439993511	0.444	0.0496935074566333	0.964
DMR_25	chr1	92011732	92012736	1004	*	0.251472669107956	1.76030868375569	13325	23335	23341	7	7	0.0115065064485104	0.452	0.0288995237488268	0.884
DMR_26	chr6	29648161	29648381	220	*	0.203432712790377	1.83089441511339	244717	380523	380531	9	25	0.0144265866348393	0.472	0.0256665778282483	0.852
DMR_27	chr14	23616151	23616799	648	*	0.265627951938507	1.59376771163104	84083	134846	134851	6	8	0.0116687331255287	0.472	0.0377872281254707	0.92
DMR_28	chr1	231473707	231473975	268	*	-0.226821763658574	1.81457410926859	26446	43271	43278	8	35	0.0155332043244997	0.476	0.0264777112133397	0.86
DMR_29	chr19	14529923	14530316	393	*	-0.224427307280764	1.79541845824611	138377	231369	231376	8	15	0.0163791005689521	0.48	0.0273062260281116	0.86
DMR_30	chr1	45805804	45806086	282	*	-0.221013084405237	1.7681046752419	8843	17773	17780	8	26	0.017810171612649	0.5	0.0285866580145772	0.872
DMR_31	chr2	208490102	208491029	927	*	-0.220749893274322	1.76599914619457	165778	272491	272498	8	21	0.0179028725709452	0.5	0.0286735651629799	0.876
DMR_32	chr19	42746844	42747065	221	*	-0.219042007467079	1.75233605973663	142127	238842	238849	8	15	0.0184880473701897	0.5	0.0292529461523309	0.888
